stop,time_period,period_hrs,boardings,avg_hourly_boardings
Astoria,AM peak,"4","71744",17936
Atlantic Ave/BBP Pier 6,AM peak,"4","21124",5281
Battery Park City/Vesey St.,AM peak,"4","6566",1641.5
Bay Ridge,AM peak,"4","12526",3131.5
Brooklyn Navy Yard,AM peak,"4","31008",7752
Corlears Hook,AM peak,"4","4617",1154.25
Dumbo/Fulton Ferry,AM peak,"4","33369",8342.25
East 34th Street,AM peak,"4","70588",17647
East 90th St,AM peak,"4","51474",12868.5
Ferry Point Park,AM peak,"4","28745",7186.25
Gov. Island/Yankee Pier,AM peak,"4","618",154.5
Greenpoint,AM peak,"4","6493",1623.25
Hunters Point South,AM peak,"4","57101",14275.25
Long Island City,AM peak,"4","64896",16224
Midtown West,AM peak,"4","14190",3547.5
North Williamsburg,AM peak,"4","109888",27472
Red Hook/Atlantic Basin,AM peak,"4","19374",4843.5
Rockaway,AM peak,"4","62422",15605.5
Roosevelt Island,AM peak,"4","33265",8316.25
Soundview,AM peak,"4","71889",17972.25
South Williamsburg,AM peak,"4","42376",10594
St. George,AM peak,"4","55400",13850
Stuyvesant Cove,AM peak,"4","17754",4438.5
Sunset Park/BAT,AM peak,"4","26182",6545.5
Wall St/Pier 11,AM peak,"4","83267",20816.75
