gtfs_stop_,station_id,complex_id,division,line,stop_name,borough,cbd,daytime_ro,structure,gtfs_latit,gtfs_longi,north_dire,south_dire,ada,ada_northb,ada_southb,ada_notes
R24,19.9999999999999964472863211994991,19.9999999999999964472863211994991,BMT,Broadway,City Hall,M,true,R W,Subway,40.7132819999999995275175024289638,-74.0069780000000037034624256193638,Uptown,Downtown,"0","0","0",
R25,21.0000000000000000000000000000000,624.0000000000000000000000000000000,BMT,Broadway,Cortlandt St,M,true,R W,Subway,40.7106679999999983010638970881701,-74.0110289999999935162122710607946,Uptown,Downtown,"1","1","1",
R26,22.0000000000000000000000000000000,22.0000000000000000000000000000000,BMT,Broadway,Rector St,M,true,R W,Subway,40.7072199999999995156940713059157,-74.0133419999999944138835417106748,Uptown,Downtown,"0","0","0",
R27,23.0000000000000000000000000000000,635.0000000000000000000000000000000,BMT,Broadway,Whitehall St-South Ferry,M,true,R W,Subway,40.7030869999999964647940942086279,-74.0129940000000061672835727222264,Uptown,Downtown,"0","0","0",
R28,24.0000000000000000000000000000000,620.0000000000000000000000000000000,BMT,Broadway,Court St,Bk,false,R,Subway,40.6940999999999988290255714673549,-73.9917769999999990204742061905563,Manhattan,Southbound,"0","0","0",
R41,35.0000000000000000000000000000000,35.0000000000000000000000000000000,BMT,4th Av,59 St,Bk,false,N R,Subway,40.6413620000000008758433978073299,-74.0178810000000027002897695638239,Manhattan,Southbound,"1","1","1",
M16,101.0000000000000000000000000000000,101.0000000000000000000000000000000,BMT,Jamaica,Marcy Av,Bk,false,M J Z,Elevated,40.7083590000000015152181731536984,-73.9577570000000008576535037718713,Outbound,Manhattan,"1","1","1",
M22,106.0000000000000000000000000000000,628.0000000000000000000000000000000,BMT,Jamaica,Fulton St,M,true,J Z,Subway,40.7103740000000016152625903487206,-74.0075819999999993115125107578933,Brooklyn,Downtown,"1","1","1",
M23,107.0000000000000000000000000000000,107.0000000000000000000000000000000,BMT,Jamaica,Broad St,M,true,J Z,Subway,40.7064760000000021022970031481236,-74.0110559999999964020389597862959,Brooklyn,Last Stop,"0","0","0",
L06,119.0000000000000000000000000000000,119.0000000000000000000000000000000,BMT,Canarsie,1 Av,M,true,L,Subway,40.7309529999999995197867974638939,-73.9816280000000006111804395914078,West Side,Brooklyn,"1","1","1",
L08,120.0000000000000000000000000000000,120.0000000000000000000000000000000,BMT,Canarsie,Bedford Av,Bk,false,L,Subway,40.7173039999999986093826009891927,-73.9568720000000041636667447164655,Manhattan,Outbound,"1","1","1",
A36,170.0000000000000000000000000000000,624.0000000000000000000000000000000,IND,8th Av - Fulton St,Chambers St,M,true,A C,Subway,40.7141110000000026047928258776665,-74.0085849999999965120878187008202,Uptown,Brooklyn,"0","0","0",
E01,171.0000000000000000000000000000000,624.0000000000000000000000000000000,IND,8th Av - Fulton St,World Trade Center,M,true,E,Subway,40.7125819999999976062099449336529,-74.0097810000000038144207792356610,Uptown,Last Stop,"1","1","1",
A38,172.0000000000000000000000000000000,628.0000000000000000000000000000000,IND,8th Av - Fulton St,Fulton St,M,true,A C,Subway,40.7101970000000008553797670174390,-74.0076909999999941192072583362460,Uptown,Brooklyn,"1","1","1",
