stop,time_period,boardings
Astoria,AM peak,71744
Astoria,Evening,15254
Astoria,Midday,89130
Astoria,Overnight,0
Astoria,PM peak,43819
Atlantic Ave/BBP Pier 6,AM peak,21124
Atlantic Ave/BBP Pier 6,Evening,9803
Atlantic Ave/BBP Pier 6,Midday,48051
Atlantic Ave/BBP Pier 6,PM peak,25259
Battery Park City/Vesey St.,AM peak,6566
Battery Park City/Vesey St.,Evening,14483
Battery Park City/Vesey St.,Midday,35526
Battery Park City/Vesey St.,PM peak,40799
Bay Ridge,AM peak,12526
Bay Ridge,Evening,7996
Bay Ridge,Midday,52524
Bay Ridge,Overnight,0
Bay Ridge,PM peak,21398
Brooklyn Navy Yard,AM peak,31008
Brooklyn Navy Yard,Evening,10998
Brooklyn Navy Yard,Midday,38144
Brooklyn Navy Yard,PM peak,35312
Corlears Hook,AM peak,4617
Corlears Hook,Evening,3511
Corlears Hook,Midday,16388
Corlears Hook,PM peak,8544
Dumbo/BBP Pier 1,Overnight,0
Dumbo/Fulton Ferry,AM peak,33369
Dumbo/Fulton Ferry,Evening,98604
Dumbo/Fulton Ferry,Midday,256748
Dumbo/Fulton Ferry,Overnight,0
Dumbo/Fulton Ferry,PM peak,180244
East 34th Street,AM peak,70588
East 34th Street,Evening,117696
East 34th Street,Midday,297757
East 34th Street,Overnight,674
East 34th Street,PM peak,291123
East 90th St,AM peak,51474
East 90th St,Evening,35952
East 90th St,Midday,135758
East 90th St,Overnight,438
East 90th St,PM peak,97142
Ferry Point Park,AM peak,28745
Ferry Point Park,Evening,4847
Ferry Point Park,Midday,27854
Ferry Point Park,Overnight,4357
Ferry Point Park,PM peak,13035
Gov. Island/Yankee Pier,AM peak,618
Gov. Island/Yankee Pier,Midday,44058
Gov. Island/Yankee Pier,Overnight,0
Gov. Island/Yankee Pier,PM peak,36249
Governors Island,Overnight,0
Greenpoint,AM peak,6493
Greenpoint,Evening,751
Greenpoint,Midday,5458
Greenpoint,PM peak,1904
Hunters Point South,AM peak,57101
Hunters Point South,Evening,24919
Hunters Point South,Midday,105336
Hunters Point South,Overnight,0
Hunters Point South,PM peak,53619
Long Island City,AM peak,64896
Long Island City,Evening,26718
Long Island City,Midday,85125
Long Island City,Overnight,0
Long Island City,PM peak,46008
Midtown West,AM peak,14190
Midtown West,Evening,21546
Midtown West,Midday,44616
Midtown West,PM peak,49260
North Williamsburg,AM peak,109888
North Williamsburg,Evening,45040
North Williamsburg,Midday,173113
North Williamsburg,Overnight,0
North Williamsburg,PM peak,93329
Red Hook/Atlantic Basin,AM peak,19374
Red Hook/Atlantic Basin,Evening,9339
Red Hook/Atlantic Basin,Midday,37428
Red Hook/Atlantic Basin,Overnight,0
Red Hook/Atlantic Basin,PM peak,19294
Rockaway,AM peak,62422
Rockaway,Evening,38460
Rockaway,Midday,108790
Rockaway,Overnight,5690
Rockaway,PM peak,91561
Roosevelt Island,AM peak,33265
Roosevelt Island,Evening,17726
Roosevelt Island,Midday,74006
Roosevelt Island,Overnight,0
Roosevelt Island,PM peak,41908
Soundview,AM peak,71889
Soundview,Evening,7836
Soundview,Midday,54087
Soundview,Overnight,11982
Soundview,PM peak,23591
South Williamsburg,AM peak,42376
South Williamsburg,Evening,15727
South Williamsburg,Midday,78356
South Williamsburg,Overnight,0
South Williamsburg,PM peak,36630
St. George,AM peak,55400
St. George,Evening,16628
St. George,Midday,66870
St. George,PM peak,33083
Stuyvesant Cove,AM peak,17754
Stuyvesant Cove,Evening,6049
Stuyvesant Cove,Midday,29713
Stuyvesant Cove,Overnight,300
Stuyvesant Cove,PM peak,17834
Sunset Park/BAT,AM peak,26182
Sunset Park/BAT,Evening,8237
Sunset Park/BAT,Midday,62667
Sunset Park/BAT,Overnight,827
Sunset Park/BAT,PM peak,30176
Wall St/Pier 11,AM peak,83267
Wall St/Pier 11,Evening,195541
Wall St/Pier 11,Midday,528478
Wall St/Pier 11,Overnight,137
Wall St/Pier 11,PM peak,489603
