stop,total_boardings,commute_boardings,noncommute_boardings,weekday_boardings,weekend_boardings,hourly_am_peak,hourly_evening,hourly_midday,hourly_overnight,hourly_pm_peak,residents_15m,workers_15m,population_15m,hh_income,commute_share,weekend_share,peak_hourly,midday_hourly,am_to_pm_ratio
Astoria,219947,92475,127472,147234,72713,17936,3813.5,14855,0,14606.333333333334,34071,17246,65720,3106952200,0.42044219743847383,0.33059327929001076,17936,14855,1.2279604737670873
Atlantic Ave/BBP Pier 6,104237,34280,69957,65558,38679,5281,2450.75,8008.5,NA,8419.666666666666,33318,183280,64407,6952706100,0.3288659497107553,0.3710678549843146,8419.666666666666,8008.5,0.6272219802842551
Battery Park City/Vesey St.,97374,37851,59523,71697,25677,1641.5,3620.75,5921,NA,13599.666666666666,NA,NA,NA,NA,0.38871772752480127,0.2636946207406495,13599.666666666666,5921,0.12070148778156328
Bay Ridge,94444,21695,72749,53400,41044,3131.5,1999,8754,0,7132.666666666667,12234,12966,27757,1067689100,0.22971284570750922,0.4345855745203507,7132.666666666667,8754,0.4390363585381811
Brooklyn Navy Yard,115462,59086,56376,91042,24420,7752,2749.5,6357.333333333333,NA,11770.666666666666,14868,11546,40858,1296934400,0.5117354627496492,0.2114981552372209,11770.666666666666,6357.333333333333,0.658586316266425
Corlears Hook,33060,8308,24752,17819,15241,1154.25,877.75,2731.3333333333335,NA,2848,17345,8763,45459,1280968200,0.2513006654567453,0.46101028433151847,2848,2731.3333333333335,0.40528441011235955
Dumbo/BBP Pier 1,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dumbo/Fulton Ferry,568965,140806,428159,339248,229717,8342.25,24651,42791.333333333336,0,60081.333333333336,NA,NA,NA,NA,0.2474774371007004,0.4037453973443006,60081.333333333336,42791.333333333336,0.13884928208428574
East 34th Street,777838,294021,483817,560509,217329,17647,29424,49626.166666666664,96.28571428571428,97041,NA,NA,NA,NA,0.3779977321755944,0.2794013663513482,97041,49626.166666666664,0.18185097020846858
East 90th St,320764,111469,209295,203888,116876,12868.5,8988,22626.333333333332,62.57142857142857,32380.666666666668,NA,NA,NA,NA,0.34751094262448406,0.3643675724208452,32380.666666666668,22626.333333333332,0.39741306540940063
Ferry Point Park,78838,34937,43901,55740,23098,7186.25,1211.75,4642.333333333333,622.4285714285714,4345,NA,NA,NA,NA,0.4431492427509577,0.29298054237804105,7186.25,4642.333333333333,1.6539125431530495
Gov. Island/Yankee Pier,80925,15481,65444,39097,41828,154.5,NA,7343,0,12083,NA,NA,NA,NA,0.19130058696323757,0.5168736484399135,12083,7343,0.012786559629231151
Governors Island,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenpoint,14606,7693,6913,11683,2923,1623.25,187.75,909.6666666666666,NA,634.6666666666666,12110,41902,23882,1475485600,0.5267013556072847,0.20012323702587978,1623.25,909.6666666666666,2.5576418067226894
Hunters Point South,240975,82766,158209,153959,87016,14275.25,6229.75,17556,0,17873,NA,NA,NA,NA,0.34346301483556385,0.3610996991389148,17873,17556,0.7987047501818385
Long Island City,222747,84233,138514,145895,76852,16224,6679.5,14187.5,0,15336,17506,27727,27029,2392861200,0.3781554858202355,0.34501923707165527,16224,14187.5,1.057902973395931
