station_complex_id,station_complex,total_ridership,commute_ridership,noncommute_ridership,weekday_ridership,weekend_ridership
22,"Rector St (R,W)",949992,415245,534747,799011,150981
35,"59 St (N,R)",2620813,1308789,1312024,2145597,475216
101,"Marcy Av (M,J,Z)",2546334,1037533,1508801,2037258,509076
107,"Broad St (J,Z)",1056097,472747,583350,899461,156636
119,1 Av (L),5368727,1890025,3478702,4072598,1296129
120,Bedford Av (L),7234927,2455999,4778928,5153863,2081064
173,"High St (A,C)",2152844,835237,1317607,1663503,489341
201,"Beach 98 St (A,S)",94656,37516,57140,74610,20046
202,"Beach 105 St (A,S)",59175,22671,36504,43146,16029
203,"Rockaway Park-Beach 116 St (A,S)",155307,59708,95599,119240,36067
222,Roosevelt Island (F),1778349,734343,1044006,1372128,406221
235,York St (F),2521347,925133,1596214,1896606,624741
282,21 St (G),378100,165010,213090,308795,69305
283,Greenpoint Av (G),2094440,950996,1143444,1751521,342919
327,"Chambers St (1,2,3)",3273266,1362060,1911206,2815597,457669
328,WTC Cortlandt (1),2384983,1040911,1344072,1900489,484494
329,Rector St (1),1430365,589813,840552,1130761,299604
333,"Wall St (2,3)",3097728,1488904,1608824,2635817,461911
334,"Clark St (2,3)",843230,309438,533792,625277,217953
403,33 St (6),4866585,1993170,2873415,4054211,812374
413,"Wall St (4,5)",2723236,1257759,1465477,2311398,411838
414,"Bowling Green (4,5)",4334794,2075188,2259606,3700973,633821
463,Hunters Point Av (7),1051848,621357,430491,986799,65049
464,Vernon Blvd-Jackson Av (7),3139624,1444979,1694645,2531424,608200
471,34 St-Hudson Yards (7),4377946,1558655,2819291,3455057,922889
475,96 St (Q),3573143,1612628,1960515,2896872,676271
476,86 St (Q),4875908,2165673,2710235,3833535,1042373
606,"Court Sq (E,G,M,7)",4452861,1953168,2499693,3648855,804006
620,"Court St (R)/Borough Hall (2,3,4,5)",5492558,2416947,3075611,4710353,782205
624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",10203453,4639332,5564121,8649114,1554339
628,"Fulton St (A,C,J,Z,2,3,4,5)",14915070,6722341,8192729,12314477,2600593
635,"South Ferry (1)/Whitehall St (R,W)",5203571,2303878,2899693,4213463,990108
